Date & Time,Temp (°C),Feels Like (°C),Min Temp (°C),Max Temp (°C),Weather,Humidity (%),Wind Speed (m/s),Cloudiness (%)
2025-06-23 18:00:00,23.88,24.6,23.88,23.88,light rain,87,4.05,53
2025-06-23 21:00:00,24.77,25.47,24.77,26.55,light rain,83,5.03,40
2025-06-24 00:00:00,26.69,29.07,26.69,28.1,light rain,80,4.58,28
2025-06-24 03:00:00,30.7,36.25,30.7,30.7,light rain,68,5.68,17
2025-06-24 06:00:00,33.57,38.45,33.57,33.57,light rain,53,3.32,37
2025-06-24 09:00:00,35.11,39.79,35.11,35.11,light rain,47,4.63,51
2025-06-24 12:00:00,35.45,40.17,35.45,35.45,broken clouds,46,6.52,54
2025-06-24 15:00:00,28.48,32.79,28.48,28.48,moderate rain,77,2.07,92
2025-06-24 18:00:00,27.23,30.81,27.23,27.23,moderate rain,85,5.74,96
2025-06-24 21:00:00,25.63,26.57,25.63,25.63,moderate rain,89,4.62,100
2025-06-25 00:00:00,25.78,26.69,25.78,25.78,moderate rain,87,3.47,91
2025-06-25 03:00:00,29.16,33.48,29.16,29.16,light rain,72,5.13,77
2025-06-25 06:00:00,32.81,38.02,32.81,32.81,light rain,57,2.96,78
2025-06-25 09:00:00,35.72,40.01,35.72,35.72,broken clouds,44,1.13,55
2025-06-25 12:00:00,34.21,39.21,34.21,34.21,light rain,51,0.48,77
2025-06-25 15:00:00,32.78,38.62,32.78,32.78,overcast clouds,59,1.32,100
2025-06-25 18:00:00,31.57,37.25,31.57,31.57,overcast clouds,64,1.78,100
2025-06-25 21:00:00,30.34,35.12,30.34,30.34,light rain,67,3.91,100
2025-06-26 00:00:00,28.2,30.92,28.2,28.2,light rain,69,4.87,98
2025-06-26 03:00:00,28.95,31.74,28.95,28.95,overcast clouds,65,5.36,100
2025-06-26 06:00:00,31.91,36,31.91,31.91,light rain,57,5.04,97
2025-06-26 09:00:00,31.14,35.67,31.14,31.14,moderate rain,62,3.92,100
2025-06-26 12:00:00,29.34,33.9,29.34,29.34,light rain,72,3.45,100
2025-06-26 15:00:00,29.26,33.92,29.26,29.26,overcast clouds,73,2.32,100
2025-06-26 18:00:00,29.2,33.57,29.2,29.2,light rain,72,2.18,100
2025-06-26 21:00:00,28.36,32.33,28.36,28.36,light rain,76,1.66,100
2025-06-27 00:00:00,27.39,30.28,27.39,27.39,light rain,77,2.28,100
2025-06-27 03:00:00,26.97,29.4,26.97,26.97,moderate rain,77,4.07,100
2025-06-27 06:00:00,30.09,34.08,30.09,30.09,moderate rain,65,3.67,100
2025-06-27 09:00:00,27.33,30.26,27.33,27.33,moderate rain,78,2.92,100
2025-06-27 12:00:00,29.03,32.79,29.03,29.03,light rain,70,0.88,100
2025-06-27 15:00:00,26.25,26.25,26.25,26.25,moderate rain,87,4.24,100
2025-06-27 18:00:00,25.99,25.99,25.99,25.99,moderate rain,86,3.68,100
2025-06-27 21:00:00,25.53,26.38,25.53,25.53,moderate rain,86,3.95,100
2025-06-28 00:00:00,24.08,25.02,24.08,24.08,heavy intensity rain,95,4.15,100
2025-06-28 03:00:00,24.03,24.94,24.03,24.03,heavy intensity rain,94,2.69,100
2025-06-28 06:00:00,25.68,26.5,25.68,25.68,light rain,84,2.77,100
2025-06-28 09:00:00,27.59,30.24,27.59,27.59,light rain,73,5.06,100
2025-06-28 12:00:00,26.82,28.78,26.82,26.82,light rain,73,4.26,100
2025-06-28 15:00:00,26.13,26.13,26.13,26.13,overcast clouds,79,2.71,100
